ParticipantID                       , ParticipantIdentifier, Timestamp           , PushNotificationIdentifier          , StatusCode
84bf7b38-130c-49cc-bf18-3aad6494196f, P0001                , 2025-02-16T19:16:40Z, 3fc75355-ded8-4c1a-9d6f-59b55b7d0a90, Succeeded
84bf7b38-130c-49cc-bf18-3aad6494196f, P0001                , 2025-03-18T18:16:40Z, b915c2f0-631d-475d-bfc4-fa4ae3188f38, Succeeded
6d43b916-b00c-4c03-9950-d5289331ebae, P0002                , 2025-05-12T13:48:40Z, f7f0fc56-ae30-4f6a-bb45-774d72a7ed77, Succeeded
6d43b916-b00c-4c03-9950-d5289331ebae, P0002                , 2025-08-03T13:48:40Z, 2601dc23-6d8a-4a68-b8dc-a0838f62f298, Succeeded
f557d92d-a0d5-4229-bbf4-2d8edd9d8025, P0003                , 2025-08-14T15:47:10Z, 57dd58d0-f342-4251-8228-36d5c7460006, Succeeded
f557d92d-a0d5-4229-bbf4-2d8edd9d8025, P0003                , 2025-11-26T16:47:10Z, 41f67624-9ec9-49bf-8fa0-a111f29bcef2, Succeeded
3cb498bf-9f35-45f7-a552-497593eac1b1, P0004                , 2025-07-19T06:32:00Z, 03eaa7aa-c222-45df-bbf5-2301d2ae5416, Succeeded
3cb498bf-9f35-45f7-a552-497593eac1b1, P0004                , 2025-12-25T07:32:00Z, 77e49591-344b-4ef6-906c-036ddd30de3d, Succeeded
36f8155d-d024-47da-a6e5-c3b412661fe4, P0005                , 2025-09-09T20:19:27Z, 0525a3e9-5102-4817-b590-b15f9af4b24f, Succeeded
36f8155d-d024-47da-a6e5-c3b412661fe4, P0005                , 2025-09-10T20:19:27Z, 0525a3e9-5102-4817-b590-b15f9af4b24f, Succeeded
36f8155d-d024-47da-a6e5-c3b412661fe4, P0005                , 2026-02-14T21:19:27Z, 656bf280-ae19-4dd0-ad50-86d81eb17f9c, Succeeded
36f8155d-d024-47da-a6e5-c3b412661fe4, P0005                , 2026-02-15T21:19:27Z, 656bf280-ae19-4dd0-ad50-86d81eb17f9c, Succeeded
1345933a-4a17-4362-80b3-ba4af94a2d9e, P0006                , 2025-12-08T12:47:11Z, b56e5cfb-f76b-4ead-9849-ddede809f226, Succeeded
1345933a-4a17-4362-80b3-ba4af94a2d9e, P0006                , 2025-12-31T12:47:11Z, 936ad01c-8bad-40b5-8721-d7fc22fc8cee, Succeeded
1345933a-4a17-4362-80b3-ba4af94a2d9e, P0006                , 2026-05-05T11:47:11Z, 17dacc74-cdab-4eee-8f3a-47d6b9e41bfc, Succeeded
1345933a-4a17-4362-80b3-ba4af94a2d9e, P0006                , 2026-05-06T11:47:11Z, 17dacc74-cdab-4eee-8f3a-47d6b9e41bfc, Succeeded
1345933a-4a17-4362-80b3-ba4af94a2d9e, P0006                , 2026-05-07T11:47:11Z, 17dacc74-cdab-4eee-8f3a-47d6b9e41bfc, Succeeded
91b27b68-9045-4460-9bbe-419262a86d9b, P0008                , 2025-12-10T21:35:37Z, 4a957177-da85-4b84-8993-c1ff3ce783c3, Succeeded
91b27b68-9045-4460-9bbe-419262a86d9b, P0008                , 2025-12-11T21:35:37Z, 4a957177-da85-4b84-8993-c1ff3ce783c3, Succeeded
91b27b68-9045-4460-9bbe-419262a86d9b, P0008                , 2026-04-09T20:35:37Z, 70d04d67-09f8-4c01-a464-fc56e4f48582, Succeeded
82a8198d-1793-4396-ad37-a404feb213b0, P0009                , 2025-06-27T05:09:46Z, 90e59599-0b77-4290-b7d3-c0e17ca84c7e, Succeeded
82a8198d-1793-4396-ad37-a404feb213b0, P0009                , 2025-06-28T05:09:46Z, 90e59599-0b77-4290-b7d3-c0e17ca84c7e, Succeeded
82a8198d-1793-4396-ad37-a404feb213b0, P0009                , 2025-06-29T05:09:46Z, 90e59599-0b77-4290-b7d3-c0e17ca84c7e, Succeeded
86ed57a9-ebd1-47b8-8536-59c480407459, P0010                , 2025-12-22T01:12:25Z, 4dc16828-bb85-4344-a7de-324a8dec5363, Succeeded
86ed57a9-ebd1-47b8-8536-59c480407459, P0010                , 2025-12-23T01:12:25Z, 4dc16828-bb85-4344-a7de-324a8dec5363, Succeeded
86ed57a9-ebd1-47b8-8536-59c480407459, P0010                , 2026-01-14T01:12:25Z, 457d0b61-066e-47d4-b059-1a358894f510, Succeeded
86ed57a9-ebd1-47b8-8536-59c480407459, P0010                , 2026-01-15T01:12:25Z, 457d0b61-066e-47d4-b059-1a358894f510, Succeeded
86ed57a9-ebd1-47b8-8536-59c480407459, P0010                , 2026-03-15T00:12:25Z, 12f695c9-14e4-404e-9643-2280066a58b7, Succeeded
86ed57a9-ebd1-47b8-8536-59c480407459, P0010                , 2026-03-16T00:12:25Z, 12f695c9-14e4-404e-9643-2280066a58b7, Succeeded
86ed57a9-ebd1-47b8-8536-59c480407459, P0010                , 2026-05-28T00:12:25Z, 6d765498-13fd-493a-98c4-ea5780e0dea6, Succeeded
4d721588-1a42-4782-89dd-16bd1baf26cf, P0011                , 2026-01-28T23:00:42Z, 3b4e42ff-dd83-406b-ac64-9afa124c7afe, Succeeded
4d721588-1a42-4782-89dd-16bd1baf26cf, P0011                , 2026-01-29T23:00:42Z, 3b4e42ff-dd83-406b-ac64-9afa124c7afe, Succeeded
4d721588-1a42-4782-89dd-16bd1baf26cf, P0011                , 2026-01-30T23:00:42Z, 3b4e42ff-dd83-406b-ac64-9afa124c7afe, Succeeded
6882d01f-d90c-4d57-89f1-f1bcf8663311, P0012                , 2025-08-30T20:39:06Z, baa0a0d3-0319-40c7-a48f-657a14efd851, Succeeded
