ParticipantID                       , ParticipantIdentifier, Timestamp           , PushNotificationIdentifier
84bf7b38-130c-49cc-bf18-3aad6494196f, P0001                , 2025-02-19T11:42:40Z, 3fc75355-ded8-4c1a-9d6f-59b55b7d0a90
6d43b916-b00c-4c03-9950-d5289331ebae, P0002                , 2025-05-16T10:05:40Z, f7f0fc56-ae30-4f6a-bb45-774d72a7ed77
6d43b916-b00c-4c03-9950-d5289331ebae, P0002                , 2025-08-07T00:08:40Z, 2601dc23-6d8a-4a68-b8dc-a0838f62f298
f557d92d-a0d5-4229-bbf4-2d8edd9d8025, P0003                , 2025-08-15T19:39:10Z, 57dd58d0-f342-4251-8228-36d5c7460006
f557d92d-a0d5-4229-bbf4-2d8edd9d8025, P0003                , 2025-11-28T21:05:10Z, 41f67624-9ec9-49bf-8fa0-a111f29bcef2
3cb498bf-9f35-45f7-a552-497593eac1b1, P0004                , 2025-07-22T21:09:00Z, 03eaa7aa-c222-45df-bbf5-2301d2ae5416
3cb498bf-9f35-45f7-a552-497593eac1b1, P0004                , 2025-12-27T10:29:00Z, 77e49591-344b-4ef6-906c-036ddd30de3d
36f8155d-d024-47da-a6e5-c3b412661fe4, P0005                , 2025-09-13T16:38:27Z, 0525a3e9-5102-4817-b590-b15f9af4b24f
1345933a-4a17-4362-80b3-ba4af94a2d9e, P0006                , 2026-01-01T02:47:11Z, 936ad01c-8bad-40b5-8721-d7fc22fc8cee
86ed57a9-ebd1-47b8-8536-59c480407459, P0010                , 2025-12-26T02:11:25Z, 4dc16828-bb85-4344-a7de-324a8dec5363
86ed57a9-ebd1-47b8-8536-59c480407459, P0010                , 2026-01-19T00:40:25Z, 457d0b61-066e-47d4-b059-1a358894f510
86ed57a9-ebd1-47b8-8536-59c480407459, P0010                , 2026-05-29T23:00:25Z, 6d765498-13fd-493a-98c4-ea5780e0dea6
4d721588-1a42-4782-89dd-16bd1baf26cf, P0011                , 2026-01-29T03:32:42Z, 3b4e42ff-dd83-406b-ac64-9afa124c7afe
6882d01f-d90c-4d57-89f1-f1bcf8663311, P0012                , 2025-09-01T17:39:06Z, baa0a0d3-0319-40c7-a48f-657a14efd851
6882d01f-d90c-4d57-89f1-f1bcf8663311, P0012                , 2025-10-02T19:47:06Z, e4945ce3-989e-43e1-8d4e-e56693752140
